exp_num,num_classes,num_observations,first_class_perc,pred_approach,mean_accuracy,sd_accuracy,quantile_accuracy,mean_sensitivity,sd_sensitivity,quantile_sensitivity,mean_specificity,sd_specificity,quantile_specificity,mean_g_mean,sd_g_mean,quantile_g_mean,mean_precision,sd_precision,quantile_precision,mean_recall,sd_recall,quantile_recall,mean_f_measure,sd_f_measure,quantile_f_measure
13,2,100,0.3333333333333333,most_frequent,0.67,0,0.67,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
14,2,100,0.3333333333333333,proportional,0.557718,0.04701354595592992,0.67,0.32938181818181816,0.08173802702437637,0.5151515151515151,0.6701820895522388,0.05748907859103307,0.8059701492537313,0.4656183903992242,0.06279844546352094,0.601144694282912,0.3297498470810102,0.06852538113144653,0.5,0.32938181818181816,0.08173802702437637,0.5151515151515151,0.32786161757354926,0.07122452726292657,0.48571428571428577
15,2,100,0.3333333333333333,uniform,0.500454,0.05060582949619441,0.62,0.5007060606060606,0.08731631581271329,0.696969696969697,0.5003298507462687,0.06145776279218598,0.6417910447761194,0.4976473441829905,0.054268855616364936,0.6218543634882823,0.3305049118309271,0.048244909771851335,0.4423290598290603,0.5007060606060606,0.08731631581271329,0.696969696969697,0.397220449239444,0.059604330319864736,0.5319290780141849
16,2,100,0.5,most_frequent,0.5,0,0.5,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
17,2,100,0.5,proportional,0.49975,0.04948416280222213,0.6101000000000022,0.500082,0.07047644974739363,0.66,0.49941800000000003,0.07086807112057189,0.66,0.49716354454930295,0.049813433017451884,0.6099376704225973,0.499787309346601,0.05018764822358925,0.6170212765957447,0.500082,0.07047644974739363,0.66,0.49864655078667186,0.05565802460296299,0.6238532110091743
18,2,100,0.5,uniform,0.500146,0.04968546617024797,0.62,0.499748,0.07040647841797175,0.66,0.500544,0.07044572608776492,0.66,0.49761081646912364,0.05007041079855333,0.6170899448216606,0.5001507421972005,0.050487795241594455,0.6222222222222222,0.499748,0.07040647841797175,0.66,0.4986930531465865,0.055880269472532,0.6262626262626263
19,2,1000,0.01,most_frequent,0.99,0,0.99,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
20,2,1000,0.01,proportional,0.9802143999999999,0.003094962119162676,0.987,0.009850000000000001,0.031113892514932028,0.1,0.9900160606060606,0.0031102280150842225,0.996969696969697,0.030286005260733065,0.09399653446219712,0.31542820022146006,0.009913904906153358,0.03323224458345215,0.15384615384615385,0.009850000000000001,0.031113892514932028,0.1,0.10164779722860191,0.02486897724501934,0.2105263157894737
21,2,1000,0.01,uniform,0.50021,0.015905841680966096,0.538,0.4992,0.15928558374730267,0.9,0.500220202020202,0.015994832293301585,0.5373737373737374,0.49240137349923513,0.08507141966751529,0.6550503103509754,0.009987972833415109,0.0031747086651850416,0.01711046970794897,0.4992,0.15928558374730267,0.9,0.01960921446569388,0.006188332779311617,0.033542976939203356
22,2,1000,0.05,most_frequent,0.95,0,0.95,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
23,2,1000,0.05,proportional,0.9049368,0.006932056772784697,0.921,0.050728,0.031019449328182187,0.14,0.9498951578947369,0.0070985798995508425,0.9652631578947368,0.2042265123808324,0.08050007311923442,0.36297223268110773,0.05061957523451094,0.030527305219206522,0.13044191019244492,0.050728,0.031019449328182187,0.14,0.05431195963699691,0.027966786913156454,0.13186813186813184
24,2,1000,0.05,uniform,0.5000267,0.015867374214609264,0.538,0.500366,0.0714317596985358,0.66,0.5000088421052632,0.016241124064011393,0.5389473684210526,0.49882456228887206,0.03703693134393176,0.5798729443412128,0.05003647988500096,0.006982770016612133,0.06613226452905811,0.500366,0.0714317596985358,0.66,0.09096790898837744,0.012694337228714627,0.12021857923497267
25,2,1000,0.1,most_frequent,0.9,0,0.9,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
26,2,1000,0.1,proportional,0.8198080999999999,0.009364734070672854,0.841,0.09995,0.029973777585320698,0.17,0.8997923333333333,0.009906483573513689,0.9222222222222223,0.29635658235225143,0.04585746938454161,0.3947692536835647,0.0997220477369807,0.028368760362605834,0.17046171171171187,0.09995,0.029973777585320698,0.17,0.09961350175793446,0.02870727816278011,0.1708542713567839
27,2,1000,0.1,uniform,0.4996395,0.01564124690075767,0.536,0.500375,0.04961829876726182,0.62,0.49955777777777777,0.016584154037662262,0.5377777777777778,0.4992683885007972,0.026117001874814413,0.5579730180433057,0.09998385573731108,0.00937258410880433,0.12175687087363735,0.500375,0.04961829876726182,0.62,0.1666419560523407,0.01565234351764996,0.2031004589787723
28,2,1000,0.2,most_frequent,0.8,0,0.8,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
29,2,1000,0.2,proportional,0.6796359000000001,0.012662557609998149,0.709,0.1996115,0.028438573153277212,0.27,0.799642,0.014116874286256196,0.8325,0.3984821270924118,0.028830777986084483,0.463667445482212,0.1993942423722307,0.025474425044285758,0.2608695652173913,0.1996115,0.028438573153277212,0.27,0.19930430623261616,0.026222380940451866,0.26153989935298344
30,2,1000,0.2,uniform,0.4999407,0.015844332986868846,0.536,0.50035,0.035445848005289445,0.585,0.499838375,0.01777399786512269,0.54125,0.499697545833538,0.019803062365885,0.5455463428035857,0.20005947966440055,0.01266585699649321,0.23014288134191066,0.50035,0.035445848005289445,0.585,0.28577293008625343,0.018275144324320595,0.32796532840898707
31,2,1000,0.3333333333333333,most_frequent,0.667,0,0.667,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
32,2,1000,0.3333333333333333,proportional,0.5559277,0.014983895502253127,0.591,0.33347807807807806,0.026025658134939164,0.3933933933933934,0.6669857571214393,0.018140348399874485,0.7091454272863568,0.4712187127501374,0.019617881006507746,0.5165829288489169,0.3333029834158885,0.02136346182510712,0.38395836318051585,0.33347807807807806,0.026025658134939164,0.3933933933933934,0.3332259953678571,0.022613665057994416,0.38554324923010436
33,2,1000,0.3333333333333333,uniform,0.4999986,0.015748993654202556,0.538,0.5004261261261261,0.027177733801393784,0.5615615615615616,0.49978515742128937,0.01928782057888817,0.545727136431784,0.4998282109051121,0.016695125919689364,0.5396017889326665,0.3330962694493142,0.014834482695082188,0.3684210526315789,0.5004261261261261,0.027177733801393784,0.5615615615615616,0.3998707628382079,0.018466523537739272,0.44311377245508987
34,2,1000,0.5,most_frequent,0.5,0,0.5,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
35,2,1000,0.5,proportional,0.5001445,0.015724043510001832,0.5360100000000002,0.5000922,0.022371775718410907,0.552,0.5001968,0.0222243889028745,0.552,0.4998940016872838,0.01574202840232895,0.5360004834338483,0.5001409710381612,0.01575751454372445,0.5364920535955863,0.5000922,0.022371775718410907,0.552,0.49999161482056326,0.017662804637942838,0.5408067903997797
36,2,1000,0.5,uniform,0.4999621,0.015941162933034908,0.538,0.5002054,0.02241450538926043,0.552,0.4997188,0.022517060828688026,0.552,0.4997110320524788,0.015952400852404052,0.5379073897883492,0.49996442911700195,0.015966300082260392,0.5383119238325526,0.5002054,0.02241450538926043,0.552,0.49995962214920653,0.017772300366922587,0.5412960417852088
37,2,10000,0.01,most_frequent,0.99,0,0.99,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
38,2,10000,0.01,proportional,0.98021136,9.932570696252999e-4,0.9825,0.010008,0.009911092723605082,0.04,0.990011393939394,9.980658741144347e-4,0.9923232323232323,0.0771522555279164,0.06289658591332685,0.19897718259116845,0.010021168385100665,0.009903673722405039,0.03809890109890118,0.010008,0.009911092723605082,0.04,0.015744567814430864,0.007910704246599889,0.0404040404040404
39,2,10000,0.01,uniform,0.50000621,0.00500696968339544,0.5115,0.500301,0.04985687484988384,0.62,0.5000032323232323,0.005028387927199397,0.5115151515151515,0.49951952625440127,0.02518781511269347,0.5547174546883921,0.010006107565032509,9.93064040602415e-4,0.012281065332302547,0.500301,0.04985687484988384,0.62,0.019619777732743225,0.001947146895356167,0.024077459938916423
40,2,10000,0.05,most_frequent,0.95,0,0.95,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
41,2,10000,0.05,proportional,0.90503288,0.0021419910639803854,0.91,0.0500842,0.009752846874744637,0.074,0.9500301789473684,0.0022021723609004893,0.9550526315789474,0.217080294204288,0.021387267959126374,0.2652447171590653,0.05010104137248242,0.009484589378606521,0.07321776670616974,0.0500842,0.009752846874744637,0.074,0.05006940079465871,0.009553411798108763,0.07363195649658684
42,2,10000,0.05,uniform,0.50012525,0.004990601972538466,0.5116010000000001,0.5003988,0.022401552212160475,0.552,0.500110852631579,0.005118968656997633,0.5116842105263157,0.5001226382405694,0.01150032621005367,0.5263848321972925,0.050048394616498786,0.0021841171054418945,0.05512930627798564,0.5003988,0.022401552212160475,0.552,0.09099492421561126,0.003971889319857865,0.10023881032774551
43,2,10000,0.1,most_frequent,0.9,0,0.9,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
44,2,10000,0.1,proportional,0.82003001,0.0030057384860104905,0.8271,0.0999588,0.009463036376647116,0.123,0.9000379222222222,0.0031640443427627465,0.9074444444444445,0.29960651574272484,0.014241940684418057,0.3327777035800325,0.09999880405254831,0.009004913938238508,0.12130538404203438,0.0999588,0.009463036376647116,0.123,0.09995631985301874,0.009111451211598749,0.1218324600505722
45,2,10000,0.1,uniform,0.49995261,0.005026937457132304,0.5117,0.5000279,0.015639769238329035,0.536,0.49994424444444446,0.005313779792608447,0.5121111111111111,0.499917676821069,0.008254161472251685,0.518810610916929,0.09999525253436188,0.002970857526406695,0.10685046988746628,0.5000279,0.015639769238329035,0.536,0.16665927451892742,0.0049566047974734465,0.17810778581450892
46,2,10000,0.2,most_frequent,0.8,0,0.8,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
47,2,10000,0.2,proportional,0.68006987,0.003961765861579176,0.6892,0.19985315,0.009141592692151345,0.2215,0.80012405,0.00439494660411993,0.81025,0.3997779170370099,0.00921459930944788,0.42103414202159656,0.19997668263754856,0.008120844616473341,0.2189155835064791,0.19985315,0.009141592692151345,0.2215,0.19989523687714864,0.008414339239026285,0.21959489895300704
48,2,10000,0.2,uniform,0.50009307,0.005006673112223851,0.5118010000000001,0.5000869,0.011075306525395272,0.526,0.5000946125,0.005622228070986801,0.513375,0.5000520763731361,0.006202518100608712,0.5143108283178559,0.20005850456081678,0.003970538871560676,0.2092093939476086,0.5000869,0.011075306525395272,0.526,0.28578228520800736,0.005721905782453358,0.29897935780963636
49,2,10000,0.3333333333333333,most_frequent,0.6667,0,0.6667,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
50,2,10000,0.3333333333333333,proportional,0.55554311,0.004661633148399928,0.5664,0.33324383438343835,0.00821111035227652,0.35193519351935193,0.6666760761961902,0.005755593991966404,0.6802159892005399,0.4713037852025934,0.006111442726646298,0.4852033696217055,0.33324508964493477,0.006616871397696277,0.34858659746373016,0.33324383438343835,0.00821111035227652,0.35193519351935193,0.3332274400428621,0.00706592841530169,0.34938512809353184
51,2,10000,0.3333333333333333,uniform,0.49997542,0.005029758410755636,0.5117,0.49997152715271526,0.008690579672605506,0.5202520252025202,0.4999773661316934,0.0061759123166418685,0.5146242687865606,0.4999459725274956,0.0053266090952359445,0.5123017899329105,0.33327747900308236,0.004734558991925443,0.34422383223905034,0.49997152715271526,0.008690579672605506,0.5202520252025202,0.3999409239865987,0.0058994192968516,0.4137195167449311
52,2,10000,0.5,most_frequent,0.5,0,0.5,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
53,2,10000,0.5,proportional,0.50007464,0.004996323768083845,0.5115,0.50014058,0.007071251764981388,0.5162,0.5000087,0.007096025061058249,0.5164,0.500049420585071,0.004996912391477914,0.5114299271349074,0.5000748089564456,0.004996206350951896,0.5114831097030306,0.50014058,0.007071251764981388,0.5162,0.5000950852783022,0.0055837388785201425,0.5129072532134141
54,2,10000,0.5,uniform,0.49993411,0.005053713239752624,0.5115,0.50002322,0.007081067079381348,0.5164,0.499845,0.007083185169908742,0.5164,0.49990947745037084,0.0050543784950654955,0.5114939084680951,0.49993412449116603,0.005052479400409828,0.5114793953062705,0.50002322,0.007081067079381348,0.5164,0.49996636593899446,0.005628741686359958,0.5129883071278256
55,2,100000,0.01,most_frequent,0.99,0,0.99,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
